Misóviðeigandi orð							
mansalsbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
mansalsfórnarlamb	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
mansalsglæpur	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
meinsæri	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
misnotkun	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.	kvk	
misþyrma	so	z	s		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
misþyrming	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðæði	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðákæra	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðalda	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðárás	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðingi	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðingjahendi	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðmál	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðsaga	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðsamsæri	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðstaður	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðtæki	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðtilræði	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðtilraun	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðvopn	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
múgmorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
munaðarlaus	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
myrða	so	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
myrtur	lo	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðga	so	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðga	so	z	s y		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgan	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgari	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgun	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgun	no	z	y		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.	kvk	
nauðgunarákæra	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgunarákvæði	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgunarárás	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgunaratriði	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgunarbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgunardómur	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgunarfórnarlamb	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgunargreni	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgunarhótun	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgunarkæra	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgunarlög	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgunarlyf	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgunarmál	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgunarmenning	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgunarsena	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgunarsinni	no	z	n		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgunartilfelli	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgunartilraun	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgunartilvik	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðungarbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nautnafíkn	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
níðing	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		kvk
ódæði	no	z	e		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
ódæðisverk	no	z	e		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
ofbeldi	no	z	e		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
ofbeldisárás	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
ofbeldisbeiting	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
ofbeldisbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
ofbeldisdómur	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
ofbeldisglæpur	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
ofbeldishótun	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
ofbeldisrán	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
ofbeldisverk	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
pyntaður	lo	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
pynting	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
pyntingafangelsi	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
raðmorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
raðmorðingi	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
raðnauðgari	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
raðnauðgun	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
ránmorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
refisvist	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
refsibrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
réttarmorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
réttdræpur	lo	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
sæða	so	z	y		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
sæmdarmorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
sálarmorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
sifskaparbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
sjálfmorð	no	z	c		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.	mögulega stafsetningarvilla 	
sjálfsmorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
sjálfsmorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.	hk	
sjálfsmorðárás	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
sjálfsmorðsárás	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.	kvk	
sjálfsmorðsprengjuárás	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
sjálfsmorðstilræði	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
sjálfsmorðstilraun	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
sjálfsvíg	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
sjálfsvíg	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.	hk	
skilorðsbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
skírlífisbrot	no	z	y		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
skotárás	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
smáafbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
spillingarbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
stríðglæpur	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
stríðsnauðgun	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
stríðspabbi	no	z	q		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		merking óljós
stríðsréttarhöld	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
svipuhögg	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
tæling	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
vændi	no	z	y		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.	hk	
vændisbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
vændiskaup	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
vændiskona	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.	kvk	
vændismál	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
valdamisnotkun	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
vandarhögg	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
varðhaldsrefsing	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
velsæmisbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
víma	no	z	d		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
víma	so	z	s d		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
voðaverk	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
þjóðarmorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.	hk	
þolandi	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
aðildarsinni	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
afneitunarsinni	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
afturhaldsmaður	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
aktívisti	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
anarkisti	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
andfasisti	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
andfemínisti	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
efahyggjumaður	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
efnishyggjumaður	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
einangrunarsinni	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
fasískur	lo	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
fasisti	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
feministi	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
femínisti	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
föðurlandssinni	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
föðurlandssvikari	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
forræðishyggjumaður	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
frelsissinni	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
íhaldsmaður	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
karlfemínisti	no	i	k		Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
krataeðli					Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
krataeðlissjúkdómur					Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
krati					Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
málfarsfasisti	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
marxisti	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
narsissisti	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
nasismi	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
nasisti	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
níhilisti	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
níhílisti	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
nýfasisti	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
nýnasisti	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
nýrasismi	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
nýrasisti	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
öfgafemínismi	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
öfgamaður	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
öfgaþjóðernissinni	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
óþjóðrækinn	lo	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
pólitíkus	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
pönkari	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
popúlískur	lo	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
popúlisti	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
rasismi	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
rasisti	no	i	þ		Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
réttlætismarxismin					Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
sadisti	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
skoðanafasismi	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
stalínisti	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
umhverfissinni	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
verndarsinni	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
zíonisti	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
þjóðernisbrot	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
þjóðernissinni	no	i			Pólitískt orð, getur verið gildishlaðið og fólk með ólíkar skoðanir haft mismunandi tilfinningar til þess 		
agabrot	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið sýjað frá þegar börn taka þátt í ýmsu máltæknitengdu.		
ákæra	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið sýjað frá þegar börn taka þátt í ýmsu máltæknitengdu.		
ákæra	so	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið sýjað frá þegar börn taka þátt í ýmsu máltæknitengdu.		
ákærandi	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið sýjað frá þegar börn taka þátt í ýmsu máltæknitengdu.		
ákærður	lo	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið sýjað frá þegar börn taka þátt í ýmsu máltæknitengdu.		
ákæruatriði	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið sýjað frá þegar börn taka þátt í ýmsu máltæknitengdu.		
ákærudómstóll	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið sýjað frá þegar börn taka þátt í ýmsu máltæknitengdu.		
ákæruferli	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið sýjað frá þegar börn taka þátt í ýmsu máltæknitengdu.		
ákærukviðdómur	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið sýjað frá þegar börn taka þátt í ýmsu máltæknitengdu.		
ákæruliður	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið sýjað frá þegar börn taka þátt í ýmsu máltæknitengdu.		
ákærumál	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið sýjað frá þegar börn taka þátt í ýmsu máltæknitengdu.		
ákæruskali	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið sýjað frá þegar börn taka þátt í ýmsu máltæknitengdu.		
ákvæði	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið sýjað frá þegar börn taka þátt í ýmsu máltæknitengdu.	hk	
app	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið sýjað frá þegar börn taka þátt í ýmsu máltæknitengdu.	hk	
arðsemi	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið sýjað frá þegar börn taka þátt í ýmsu máltæknitengdu.	kvk	
auðgunarbrot	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið sýjað frá þegar börn taka þátt í ýmsu máltæknitengdu.		
